2015,2016,2017,id,miejsce,miejsce2018,nazwa,link,miasto,wsk,znak,profil
-,500+,500+,55,56,500+,Liceum Ogólnokształcące w ZS im. H. Sienkiewicza,Liceum Ogólnokształcące w ZS im. H. Sienkiewicza,Pajęczno,33.71,,
-,500+,500+,56,57,500+,Liceum Ogólnokształcące im. Wisławy Szymborskiej,Liceum Ogólnokształcące im. Wisławy Szymborskiej,Skierniewice,33.60,,
-,-,-,57,58,500+,Publiczne Katolickie LO im. Jana Pawła II,Publiczne Katolickie LO im. Jana Pawła II,Głowno,33.07,,
-,500+,500+,58,59,500+,Liceum Ogólnokształcące w ZSP im. Wł. St. Reymonta,Liceum Ogólnokształcące w ZSP im. Wł. St. Reymonta,Rawa Maz.,32.59,,
-,500+,500+,59,60,500+,XXIV LO im. Marii Skłodowskiej-Curie,XXIV LO im. Marii Skłodowskiej-Curie,Łódź,32.31,,
-,500+,500+,60,61,500+,II Liceum Ogólnokształcące im. Jana Kochanowskiego,II Liceum Ogólnokształcące im. Jana Kochanowskiego,Bełchatów,32.22,,
-,500+,500+,61,62,500+,II Liceum Ogólnokształcące  im. Mikołaja Kopernika,II Liceum Ogólnokształcące  im. Mikołaja Kopernika,Łowicz,31.93,,
-,500+,500+,62,63,500+,I Liceum Ogólnokształcące im. St. Staszica,I Liceum Ogólnokształcące im. St. Staszica,Zgierz,31.78,,
-,500+,500+,63,64,500+,II LO im. Marii Skłodowskiej-Curie,II LO im. Marii Skłodowskiej-Curie,Piotrków Tryb.,31.73,,
-,500+,500+,64,65,500+,I Liceum Ogólnokształcące im. Stefana Żeromskiego ,I Liceum Ogólnokształcące im. Stefana Żeromskiego ,Ozorków,31.72,,
-,500+,500+,65,66,500+,Liceum Ogólnokształcące im. Mikołaja Kopernika ,Liceum Ogólnokształcące im. Mikołaja Kopernika ,Wieruszów,29.93,,
-,-,500+,66,67,500+,II Liceum Ogólnokształcące,II Liceum Ogólnokształcące,Łęczyca,29.80,,
-,-,500+,67,68,500+,IX LO im Jarosława Dąbrowskiego,IX LO im Jarosława Dąbrowskiego,Łódź,29.67,,
-,-,-,68,69,500+,Liceum Ogólnokształcące,Liceum Ogólnokształcące,Krośniewice,27.79,,
-,500+,500+,69,70,500+,II Liceum Ogólnokształcące im. Jana Kasprowicza,II Liceum Ogólnokształcące im. Jana Kasprowicza,Kutno,27.56,,
-,500+,-,70,71,500+,LO w ZSO im. Ignacego J. Paderewskiego,LO w ZSO im. Ignacego J. Paderewskiego,Łask-Kolumna,27.56,,
-,-,500+,71,72,500+,Liceum Ogólnokształcące im. J. Iwaszkiewicza,Liceum Ogólnokształcące im. J. Iwaszkiewicza,Brzeziny,26.29,,
-,-,-,72,73,500+,Liceum Ogólnokształcące im. Mikołaja Kopernika,Liceum Ogólnokształcące im. Mikołaja Kopernika,Aleksandrów Ł.,26.16,,
-,-,500+,73,74,500+,XX LO im. Juliusza Słowackiego,XX LO im. Juliusza Słowackiego,Łódź,26.16,,
-,-,500+,74,75,500+,Liceum Ogólnokształcące im. Czesława Miłosza,Liceum Ogólnokształcące im. Czesława Miłosza,Szczerców,26.14,,
-,-,500+,75,76,500+,Liceum Ogólnokształcące w ZSP,Liceum Ogólnokształcące w ZSP,Przedbórz,26.11,,
-,-,-,76,77,500+,Niepubl. LO Szkoła Mistrzostwa Sportowego PZPS,Niepubl. LO Szkoła Mistrzostwa Sportowego PZPS,Spała,26.09,,
-,-,500+,77,78,500+,Katolickie LO SPSK im. bp. Teodora Kubiny,Katolickie LO SPSK im. bp. Teodora Kubiny,Wieluń,23.60,,
-,-,-,78,79,500+,II LO im. Bohaterów Września 1939 roku ,II LO im. Bohaterów Września 1939 roku ,Żychlin,22.89,,
-,500+,-,79,80,500+,XVIII Liceum Ogólnokształcące im. J. Śniadeckiego,XVIII Liceum Ogólnokształcące im. J. Śniadeckiego,Łódź,22.45,,
-,500+,500+,80,81,500+,Liceum Ogólnokształcące im. Wojska Polskiego,Liceum Ogólnokształcące im. Wojska Polskiego,Błaszki,22.31,,
-,1,7,0,1,5,Technikum Nowocz. Techn. im. J.Pawła II  w ZSP,Technikum Nowocz. Techn. im. J.Pawła II  w ZSP,Kleszczów,94.20,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
13,17,100,1,2,29,Technikum nr 10 w ZSP nr 10 im. Jana Szczepanika,Technikum nr 10 w ZSP nr 10 im. Jana Szczepanika,Łódź,69.32,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
157,127,238,2,3,34,Technikum nr 2 w ZSP nr 2 RCKUiP im. T. Kościuszki,Technikum nr 2 w ZSP nr 2 RCKUiP im. T. Kościuszki,Łowicz,68.34,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
22,32,300+,3,4,38,Technikum nr 13 w ZS Geodezyjno-Technicznych,Technikum nr 13 w ZS Geodezyjno-Technicznych,Łódź,67.32,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
132,300+,19,4,5,48,Technikum w ZS CKR im. Jadwigi Dziubińskiej ,Technikum w ZS CKR im. Jadwigi Dziubińskiej ,Zduńska Dąb.,65.53,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
98,237,72,5,6,52,Technikum im. W. Szymborskiej w ZS nr 3,Technikum im. W. Szymborskiej w ZS nr 3,Skierniewice,64.74,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
