2015,2016,2017,id,miejsce,miejsce2018,nazwa,link,miasto,wsk,znak,profil
-,300+,300+,26,27,300+,Technikum w ZSE im. Tadeusza Kotarbińskiego,Technikum w ZSE im. Tadeusza Kotarbińskiego,Radomsko,48.99,,
-,300+,300+,27,28,300+,Technikum Informatyczne w ZSP,Technikum Informatyczne w ZSP,Szczerców,48.37,,
-,290,160,28,29,300+,Technikum nr 3 w ZS nr 3 im. Wł. Grabskiego,Technikum nr 3 w ZS nr 3 im. Wł. Grabskiego,Kutno,48.28,,
-,300+,300+,29,30,300+,Technikum nr 1 im. gen. Wł. Andersa,Technikum nr 1 im. gen. Wł. Andersa,Łask,48.20,,
-,27,300+,30,31,300+,Technikum nr 1 w ZSP nr 1,Technikum nr 1 w ZSP nr 1,Sieradz,47.41,,
-,-,-,31,32,300+,Technikum im. ppłk. R. Sulińskiego w ZS nr 4,Technikum im. ppłk. R. Sulińskiego w ZS nr 4,Skierniewice,47.26,,
-,300+,-,32,33,300+,Technikum ZS im. M. Skłodowskiej-Curie,Technikum ZS im. M. Skłodowskiej-Curie,Działoszyn,46.70,,
-,300+,-,33,34,300+,Technikum im. Jana Pawła II w ZSP,Technikum im. Jana Pawła II w ZSP,Poddębice,46.43,,
-,168,243,34,35,300+,Technikum w ZS CKR im. Wł. St. Reymonta,Technikum w ZS CKR im. Wł. St. Reymonta,Dobryszyce,46.29,,
-,300+,300+,35,36,300+,Technikum Energetyczne w ZSP nr 3,Technikum Energetyczne w ZSP nr 3,Bełchatów,46.12,,
-,194,300+,36,37,300+,Tech. nr 17 w ZST-I im. J. Nowaka-Jeziorańskiego,Tech. nr 17 w ZST-I im. J. Nowaka-Jeziorańskiego,Łódź,45.97,,
-,300+,300+,37,38,300+,Technikum w ZS nr 3 ,Technikum w ZS nr 3 ,Pabianice,45.26,,
-,300+,300+,38,39,300+,Technikum nr 19 w ZSP nr 19 im. K. Wojtyły,Technikum nr 19 w ZSP nr 19 im. K. Wojtyły,Łódź,45.18,,
-,-,300+,39,40,300+,Technikum w ZSZ nr 1 im. Marszałka J. Piłsudskiego,Technikum w ZSZ nr 1 im. Marszałka J. Piłsudskiego,Skierniewice,44.58,,
-,300+,300+,40,41,300+,Techn. nr 1 im. kard. S. Wyszyńskiego w ZSP nr 1,Techn. nr 1 im. kard. S. Wyszyńskiego w ZSP nr 1,Łęczyca,44.31,,
-,300+,300+,41,42,300+,Technikum nr 21 w ZSR nr 21 im. Jana Kilinskiego,Technikum nr 21 w ZSR nr 21 im. Jana Kilinskiego,Łódź,44.11,,
-,158,300+,42,43,300+,Technikum Elektryczno-Elektroniczne w ZSE-E,Technikum Elektryczno-Elektroniczne w ZSE-E,Radomsko,43.85,,
-,300+,300+,43,44,300+,Technikum Mechaniczne w ZS CEZiU,Technikum Mechaniczne w ZS CEZiU,Rawa Maz.,43.60,,
-,214,300+,44,45,300+,Technikum w ZSCKR im. mjr. Wł. Szcześniewskiego,Technikum w ZSCKR im. mjr. Wł. Szcześniewskiego,Widzew,43.33,,
-,251,300+,45,46,300+,Technikum nr 3 w ZSP nr 3,Technikum nr 3 w ZSP nr 3,Łódź,43.31,,
-,300+,300+,46,47,300+,Technikum nr 1 w ZSP nr 1,Technikum nr 1 w ZSP nr 1,Tomaszów Maz.,42.99,,
-,300+,300+,47,48,300+,Technikum Ekonomiczno-Hotelarskie w ZSP nr 4,Technikum Ekonomiczno-Hotelarskie w ZSP nr 4,Bełchatów,42.93,,
-,300+,300+,48,49,300+,Technikum nr 5 w ZSP nr 5,Technikum nr 5 w ZSP nr 5,Łódź,41.99,,
-,300+,300+,49,50,300+,Technikum Kształtowania Środowiska w ZSPiPO-W nr 3,Technikum Kształtowania Środowiska w ZSPiPO-W nr 3,Piotrków Tryb.,41.52,,
